,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company
0,Maruti Swift Dzire,2014,450000,145500,Diesel,Individual,Manual,First Owner,Maruti
1,Skoda Rapid 1.5,2014,370000,120000,Diesel,Individual,Manual,Second Owner,Skoda
2,Honda City 2017-2020,2006,158000,140000,Petrol,Individual,Manual,Third Owner,Honda
3,Hyundai i20 Sportz,2010,225000,127000,Diesel,Individual,Manual,First Owner,Hyundai
4,Maruti Swift VXI,2007,130000,120000,Petrol,Individual,Manual,First Owner,Maruti
5,Hyundai Xcent 1.2,2017,440000,45000,Petrol,Individual,Manual,First Owner,Hyundai
6,Maruti Wagon R,2007,96000,175000,LPG,Individual,Manual,First Owner,Maruti
7,Maruti 800 DX,2001,45000,5000,Petrol,Individual,Manual,Second Owner,Maruti
8,Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,Toyota
9,Ford Figo Diesel,2013,200000,169000,Diesel,Individual,Manual,First Owner,Ford
10,Renault Duster 110PS,2014,500000,68000,Diesel,Individual,Manual,Second Owner,Renault
11,Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,Maruti
12,Maruti Swift Dzire,2009,280000,140000,Diesel,Individual,Manual,Second Owner,Maruti
13,Maruti Swift 1.3,2007,200000,80000,Petrol,Individual,Manual,Second Owner,Maruti
14,Maruti Wagon R,2009,180000,90000,Petrol,Individual,Manual,Second Owner,Maruti
15,Mahindra KUV 100,2016,400000,40000,Petrol,Individual,Manual,First Owner,Mahindra
16,Maruti Ertiga SHVS,2016,778000,70000,Diesel,Individual,Manual,Second Owner,Maruti
17,Hyundai i20 1.4,2012,500000,53000,Diesel,Individual,Manual,Second Owner,Hyundai
18,Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,Maruti
19,Hyundai i20 2015-2017,2016,680000,100000,Diesel,Individual,Manual,First Owner,Hyundai
20,Mahindra Verito 1.5,2011,174000,100000,Diesel,Individual,Manual,Second Owner,Mahindra
21,Honda WR-V i-DTEC,2017,950000,50000,Diesel,Individual,Manual,First Owner,Honda
22,Maruti Swift Dzire,2015,525000,40000,Diesel,Individual,Manual,First Owner,Maruti
23,Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,Maruti
24,Tata Tigor 2017-2020,2018,500000,35000,Petrol,Individual,Manual,First Owner,Tata
25,Maruti Baleno Delta,2016,575000,45000,Petrol,Individual,Manual,First Owner,Maruti
26,Maruti Alto 800,2017,275000,28000,Petrol,Individual,Manual,First Owner,Maruti
27,Chevrolet Enjoy TCDi,2013,300000,70000,Diesel,Individual,Manual,First Owner,Chevrolet
28,Maruti Wagon R,2009,220000,120000,Petrol,Individual,Manual,First Owner,Maruti
29,Maruti Omni E,2018,254999,25000,Petrol,Individual,Manual,First Owner,Maruti
30,Maruti Vitara Brezza,2017,670000,70000,Diesel,Individual,Manual,First Owner,Maruti
31,Fiat Palio 1.2,2003,70000,50000,Petrol,Individual,Manual,Second Owner,Fiat
32,Maruti Omni 8,2012,150000,35000,Petrol,Individual,Manual,Second Owner,Maruti
33,Hyundai i20 1.2,2018,730000,2388,Petrol,Individual,Manual,First Owner,Hyundai
34,Maruti Vitara Brezza,2017,650000,16200,Diesel,Individual,Manual,First Owner,Maruti
35,Maruti Alto 800,2019,330000,10000,CNG,Individual,Manual,Second Owner,Maruti
36,Maruti Alto K10,2019,366000,15000,Petrol,Individual,Manual,First Owner,Maruti
37,Hyundai Verna VTVT,2019,1149000,5000,Petrol,Individual,Manual,First Owner,Hyundai
38,Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,Datsun
39,Tata Safari DICOR,2011,425000,60000,Diesel,Individual,Manual,Second Owner,Tata
40,Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,Maruti
41,Jeep Compass 1.4,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,Jeep
42,Honda City i,2018,925000,28900,Petrol,Dealer,Manual,First Owner,Honda
43,Honda City V,2013,425000,86300,Petrol,Dealer,Manual,First Owner,Honda
44,Maruti Swift Dzire,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,Maruti
45,Maruti Vitara Brezza,2018,819999,32600,Diesel,Dealer,Manual,First Owner,Maruti
46,Maruti Alto K10,2018,390000,10300,Petrol,Dealer,Manual,First Owner,Maruti
47,Toyota Fortuner 4x4,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,Toyota
48,Toyota Innova 2.5,2013,700000,99000,Diesel,Dealer,Manual,First Owner,Toyota
49,Mercedes-Benz B Class,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,Mercedes-Benz
50,Honda Amaze S,2015,425000,49800,Diesel,Dealer,Manual,First Owner,Honda
51,Mitsubishi Pajero Sport,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,Mitsubishi
52,Honda City i,2015,600000,54700,Diesel,Dealer,Manual,First Owner,Honda
53,Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,Manual,First Owner,Maruti
54,Honda Jazz VX,2015,525000,63000,Diesel,Dealer,Manual,First Owner,Honda
55,Toyota Innova Crysta,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,Toyota
56,Toyota Innova 2.5,2016,950000,99000,Diesel,Dealer,Manual,First Owner,Toyota
57,Audi A6 2.0,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,Audi
58,Toyota Corolla Altis,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,Toyota
59,Audi A6 2.0,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,Audi
60,Mercedes-Benz New C-Class,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz
61,Tata Manza ELAN,2011,265000,120000,Diesel,Individual,Manual,First Owner,Tata
62,Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,Hyundai
63,Hyundai i20 Asta,2013,425000,60000,Diesel,Individual,Manual,First Owner,Hyundai
64,Maruti Swift Dzire,2015,630000,147000,Diesel,Individual,Manual,Second Owner,Maruti
65,Ford Figo 1.2P,2017,600000,25000,Petrol,Individual,Manual,Third Owner,Ford
66,Maruti Baleno Delta,2019,650000,30000,Petrol,Individual,Manual,First Owner,Maruti
67,Volkswagen Ameo 1.5,2016,540000,40000,Diesel,Individual,Manual,First Owner,Volkswagen
68,Honda City i,2015,630000,135000,Diesel,Individual,Manual,First Owner,Honda
69,Maruti Wagon R,2018,448000,30000,Petrol,Individual,Automatic,First Owner,Maruti
70,Volkswagen Ameo 1.5,2017,500000,80000,Diesel,Individual,Manual,First Owner,Volkswagen
